              Time,ñ                  õ,m                  y,m                  z,m          Speed_X,m/s          Speed_Y,m/s          Speed_Z,m/s         Omegax,rad/c         Omegay,rad/c         Omegaz,rad/c          Alfa,degree         Betta,degree         Pitch,degree           Yaw,degree          Roll,degree          TETA,degree           PSI,degree             B,degree             L,degree                  H,m           deltaPitch             deltaYaw            deltaRoll                   Gx                   Gy                   Gz 
                   0                    0                10000                    0                  585             -1013.25                    0                 0.01                 0.01                 0.01          5.56733e-15                    0                  -60                    0                    0                  -60                   -0              48.7703               46.306                10000                    0                    0                    0         -6.27744e+66         -6.27744e+66         -6.27744e+66 
                0.01              5.84953              9989.87          7.34437e-06              584.906             -1013.18           0.00139721           0.00999837           0.00892167           0.00856867           0.00781375           0.00557155             -59.9946            0.0110029            0.0152576             -60.0024         -0.000136867              48.7703               46.306              9989.87                    0                    0                    0         -9.03576e-05             -9.77906         -1.12248e-11 
                0.02              11.6981              9979.74           2.6628e-05              584.813             -1013.12           0.00240185           0.00999675            0.0062942           0.00495695            0.0141311            0.0100455             -59.9906            0.0198445            0.0286423             -60.0047         -0.000235316              48.7704               46.306              9979.74                    0                    0                    0         -9.92382e-05             -9.77909         -4.06806e-11 
                0.03              17.5458              9969.61          5.44495e-05               584.72             -1013.05            0.0031285           0.00999512           0.00260762         -0.000159719            0.0178888            0.0126693             -59.9892            0.0250131            0.0388452             -60.0071         -0.000306557              48.7704               46.306              9969.61                    0                    0                    0         -0.000108117             -9.77912         -8.31903e-11 
                0.04              23.3925              9959.48          8.88045e-05              584.627             -1012.99           0.00373769           0.00999349          -0.00147352           -0.0058578            0.0184922            0.0130282             -59.9909            0.0256684             0.045139             -60.0094         -0.000366309              48.7705               46.306              9959.48                    0                    0                    0         -0.000116995             -9.77915         -1.35681e-10 
                0.05              29.2383              9949.35          0.000129405              584.533             -1012.92           0.00440698           0.00999185           -0.0052295           -0.0111316            0.0159089            0.0111114             -59.9958            0.0217723            0.0474905             -60.0117         -0.000431971              48.7706               46.306              9949.35                    0                    0                    0         -0.000125872             -9.77919         -1.97713e-10 
                0.06              35.0832              9939.22          0.000177694               584.44             -1012.85            0.0052997           0.00999022          -0.00801216           -0.0150706            0.0106631           0.00730476             -60.0034            0.0140788            0.0465522             -60.0141         -0.000519558              48.7706               46.306              9939.22                    0                    0                    0         -0.000134747             -9.77922         -2.71494e-10 
                0.07              40.9271              9929.09          0.000236554              584.346             -1012.79           0.00653666           0.00998858          -0.00935675           -0.0170166            0.0037317            0.0023158             -60.0127            0.0039873            0.0435354             -60.0164         -0.000640928              48.7707               46.306              9929.09                    0                    0                    0         -0.000143621             -9.77925         -3.61442e-10 
                0.08              46.7701              9918.96          0.000309776              584.251             -1012.72           0.00817592           0.00998694          -0.00905956           -0.0166733          -0.00363524          -0.00295678             -60.0225          -0.00671364            0.0399891             -60.0188         -0.000801789              48.7707               46.306              9918.96                    0                    0                    0         -0.000152493             -9.77928         -4.73309e-10 
                0.09              52.6121              9908.83          0.000401376              584.155             -1012.65            0.0102038           0.00998531          -0.00720806            -0.014151           -0.0101391          -0.00758414             -60.0314           -0.0161656            0.0375229             -60.0212          -0.00100082              48.7708               46.306              9908.83                    0                    0                    0         -0.000161364             -9.77931         -6.13272e-10 
